,SMILES
0,C1CNCCN1
1,COC(=O)C1=CO[C@@H](C)[C@@H]2CN(CCc3c[nH]c4ccccc34)CC[C@@H]21
2,O=C1C2=C(O)C=C(O)C=C2O[C@H](C3=CC(O)=C(O)C=C3)[C@H]1O
3,Nc1ncnc2n(cc(c3ccc(Oc4ccccc4)cc3)c12)C5CCCC5
4,C(C8=O)([H])(N(C2=O)C(C(N87)(C([H])([H])C([H])([H])C7([H])[H])[H])(OC2(N([H])C(C([H])(C([H])=3)C(N(C(C([H])([H])6)([H])C(c(c5[H])c(c64)c(c(c5[H])[H])n(c4[H])[H])3)C([H])([H])[H])([H])[H])=O)C(C([H])([H])[H])(C([H])([H])[H])[H])O[H])C(c(c([H])1)c([H])c([H])c([H])c([H])1)([H])[H]
5,COC1=CC=C2C(C(CCNC(C)=O)=CN2)=C1
6,O=C(C1)NC(=N)N(C)1
7,CCc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)Nc4cccnc4)c12
8,COc1ccc2C(OC(=O)c2c1OC)N3[C@@H](CCC3=O)C(=O)Nc4ccc5OCOc5c4
9,CC(C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)[C@H](CCC[C@]23CO3)[C@@]4(C)CCC5(COC(=O)C5)O[C@@]14C
10,COCC1=C(O)C(C(O)=O)=C(C)C2=C1OC(=O)C3=C(C)C=C(O)C(O)=C3O2
11,C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@]34[C@@H]5OC(=O)[C@]3(OC6OC(=O)[C@H](O)C46[C@@H]([C@@H]5O)C(C)(C)C)[C@@]12O
12,OC1=C(O)C2=C(C(C3=C(O)C(O)=C4)=C4C(O2)=O)C(C(O3)=O)=C1
13,CC1=CC=C(C=C1)S(=O)(=O)N2CC3CC(C2)C4=CC=CC(=O)N4C3
14,C1C(C=C2[C@](C1)([C@]3([C@@](CC2)([C@]4([C@](CC3)([C@@H](CC4)C(C)=O)C)[H])[H])[H])C)=O
15,CC1OC(OCC2OC(OC3=CC4=C(C(=O)C(=CO4)C5=CC=C(O)C=C5)C(O)=C3)C(O)C(O)C2O)C(O)C(O)C1OC6OC(CO)C(O)C(O)C6O
16,CCCOC(=O)NCCCN(C)C
17,CN(C)C(=O)NC1=CC(Cl)=C(C)C=C1
18,OC1=CC(O)=C2C(=O)CC(OC2=C1)C3=CC=C(O)C(O)=C3
19,COC1=CC(O)=C2C(=O)C3=C(OC2=C1)C=C(O)C=C3C
20,CC(O)(CC(O)=O)CC(=O)OCC1=CC=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1
21,CC1O[C@@H](OCC2O[C@@H](Oc3cc(O)c4C(=O)CC(Oc4c3)c5ccc(O)cc5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
22,OCC1OC(C(O)C(O)C1O)c2c(O)cc3oc(cc(=O)c3c2O)c4ccc(O)cc4
23,COC(=O)c1ccccc1NC(=O)[C@@H]2CCC(=O)N2C3OC(=O)c4c3ccc(OC)c4OC
24,O[C@@H]([C@@H](NC)C)C1=CC=CC=C1
25,COC1=C(OC)C2=C3[C@]([N+](C)(C)CCC3=C1)([H])CC4=CC(OC)=C(OC)C=C42
26,Oc(c3)c(O)cc(c3)C(=C1)Oc(c2)c(c(O)cc(O)2)C(=O)1
27,[H]C(=O)C=Cc(c1)cccc1
28,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C5=CC(O)=C(O)C=C5)[C@H](OC(=O)\C=C\C6=CC=C(O)C=C6)[C@@H](O[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O)[C@@H]2O)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]1O
29,COC1=C(OC)C2=C(C=C1)C(OC2=O)C3N(C)CCC4=C3C(OC)=C5OCOC5=C4
30,CC(CO1)(C)N=C1C2=CC=CC=C2Br
31,Oc1nc2ccccc2n1C3CCN(CCCC(=O)c4ccc(F)cc4)CC3
32,NC(=N)N(C)CC[C@@H](N)CC(=O)N[C@@H](C=2)[C@@H](C(O)=O)O[C@H](C2)N(C=1)C(=O)N=C(N)C1
33,NCC(=O)N1CCCC1C(O)=O
34,CC1CCC2C(C)(C)C(O)C(CC2(C)C13CC4=C(O3)C(=C(CO)C=C4O)C=O)OC(C)=O
35,[H]OC(=O)C([H])(N([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([H])([H])O[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=N[H])N([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H]
36,CC(C)(O)CCCCCC1OC(=O)C=C1
37,CC(C)C1=CC(=C(C)C=C1O[C@@H]2O[C@H](COC(=O)CC(O)=O)[C@@H](O)[C@H](O)[C@H]2O)O
38,C(C(OC(C(CO)5)C(C(C(O)O5)NC(C)=O)OC(O4)C(O)C(O)C(O)C4C)3)(C(C(C(CO)O3)OC(C(O)2)OC(C(O)C2O)COC(C(O)1)OC(C(O)C(O)1)CO)O)NC(C)=O
39,NC(=O)CNCCC(c1ccccc1)c2ccccc2
40,NC(C[C@H]1C(N2[C@H](C(N[C@@H]([C@@H](O)C(N[C@@H](C(C)C)C(N/C(C(N[C@H](C(N[C@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@H](C(N1C)=O)[C@@H](OC)C)=O)=O)=O)[C@H](C)O)=O)[C@@H](O)C)=O)=C/C)=O)=O)[C@@H](C)CCCCCCCCCC(Cl)CC)=O)CCC2)=O)=O
41,C(C1(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C)C=CC(C(C)(O)3)(C(C)(C)4)OC(C4)C3)C)C)C)2)(C)(O)CC(O2)CC(C)(C)1
